Popularity ranking,Artist,Fans tracking,Tour dates
102,Dr. Dre,"1,475,437",0 concerts
103,2 Chainz,"1,456,760",10 concerts
104,Enrique Iglesias,"1,455,345",3 concerts
105,The Lumineers,"1,451,847",54 concerts
106,Nickelback,"1,450,097",0 concerts
107,Jason Mraz,"1,449,494",24 concerts
108,Halsey,"1,445,852",29 concerts
109,Train,"1,422,203",41 concerts
110,DJ Khaled,"1,419,553",0 concerts
111,Jennifer Lopez,"1,417,457",0 concerts
112,Jay-Z,"1,403,858",0 concerts
113,Tame Impala,"1,398,152",24 concerts
114,Chance the Rapper,"1,396,760",1 concert
115,Arcade Fire,"1,394,293",0 concerts
116,Hozier,"1,392,776",0 concerts
117,Jack Johnson,"1,388,856",36 concerts
118,Bob Dylan,"1,388,676",4 concerts
119,The Strokes,"1,388,557",29 concerts
120,Ne-Yo,"1,379,529",3 concerts
121,Weezer,"1,375,109",24 concerts
122,Kelly Clarkson,"1,372,066",0 concerts
123,Avril Lavigne,"1,365,916",62 concerts
125,Migos,"1,363,058",4 concerts
126,Aerosmith,"1,356,083",40 concerts
127,Bon Jovi,"1,354,704",9 concerts
129,G-Eazy,"1,337,971",2 concerts
130,Madonna,"1,327,391",0 concerts
131,Young Thug,"1,326,739",5 concerts
132,Zedd,"1,322,738",21 concerts
133,Christina Aguilera,"1,319,027",8 concerts
134,B.o.B,"1,317,633",0 concerts
135,Avicii,"1,305,774",0 concerts
136,Stevie Wonder,"1,283,752",0 concerts
137,Miguel,"1,282,964",3 concerts
138,OutKast,"1,277,928",0 concerts
139,The Script,"1,277,721",45 concerts
140,alt-J,"1,274,165",57 concerts
141,Jessie J,"1,270,436",9 concerts
142,Gucci Mane,"1,248,926",9 concerts
143,Disclosure,"1,248,211",30 concerts
144,Akon,"1,247,172",1 concert
145,Linkin Park,"1,243,707",0 concerts
146,Cardi B,"1,238,422",2 concerts
147,Of Monsters and Men,"1,237,188",0 concerts
148,Jeremih,"1,227,629",0 concerts
149,Ludacris,"1,227,610",4 concerts
150,Vampire Weekend,"1,219,025",3 concerts
151,The Fray,"1,213,725",1 concert
152,Nelly,"1,201,644",29 concerts
153,Kygo,"1,199,678",13 concerts
154,Dua Lipa,"1,199,637",62 concerts
155,The Kooks,"1,193,100",32 concerts
156,Billy Joel,"1,188,985",12 concerts
157,Cage the Elephant,"1,187,571",4 concerts
158,System of a Down,"1,186,273",0 concerts
159,Two Door Cinema Club,"1,183,602",15 concerts
160,T-Pain,"1,182,048",21 concerts
161,P!NK,"1,174,430",0 concerts
162,Martin Garrix,"1,172,976",29 concerts
163,Rick Ross,"1,171,349",15 concerts
164,Logic,"1,146,901",0 concerts
165,Eagles,"1,142,851",14 concerts
166,Bruce Springsteen,"1,142,611",0 concerts
167,Beck,"1,142,244",19 concerts
168,Death Cab for Cutie,"1,141,289",15 concerts
169,The Neighbourhood,"1,134,516",21 concerts
170,Meek Mill,"1,133,192",0 concerts
171,Journey,"1,122,097",3 concerts
172,French Montana,"1,120,492",1 concert
173,Clean Bandit,"1,119,917",6 concerts
175,5 Seconds of Summer,"1,111,615",58 concerts
176,Vance Joy,"1,110,853",20 concerts
177,Lil Uzi Vert,"1,103,791",6 concerts
178,Meghan Trainor,"1,100,639",0 concerts
179,Eric Clapton,"1,100,086",21 concerts
180,Sean Paul,"1,095,635",46 concerts
181,M83,"1,095,005",0 concerts
182,Snow Patrol,"1,094,807",12 concerts
183,DJ Snake,"1,094,588",27 concerts
184,Mark Ronson,"1,090,382",0 concerts
185,Fun.,"1,089,914",0 concerts
186,Tove Lo,"1,078,559",21 concerts
187,Phoenix,"1,075,975",9 concerts
188,Diplo,"1,072,166",23 concerts
189,The Smashing Pumpkins,"1,066,745",19 concerts
190,The 1975,"1,065,625",0 concerts
191,Luke Bryan,"1,065,343",50 concerts
192,ScHoolboy Q,"1,061,302",0 concerts
193,SZA,"1,060,609",1 concert
194,Lady A,"1,050,276",17 concerts
195,Nas,"1,047,188",6 concerts
196,Daft Punk,"1,043,391",0 concerts
197,Slipknot,"1,036,254",52 concerts
198,Florence + The Machine,"1,033,203",40 concerts
199,21 Savage,"1,032,872",3 concerts
200,The Beach Boys,"1,025,093",25 concerts
